id;question_id;question;a;b;c;d;correct;image;image_fallback;category_name
;11;11. Rekomendacje standardu WCAG 2.0 związane z percepcją dotyczą:;przedstawienia komponentów interfejsu użytkownika;zapewnienia wystarczającej ilości czasu na przeczytanie i przetworzenie treści;zapewnienia interakcji pomiędzy komponentami użytkownika przy użyciu klawiatury;zrozumienia i rzetelności w dostarczonych treściach na stronie;A;;;inf_04
;12;12. Przedstawione oznaczenie praw Creative Commons, pozwala na darmowe korzystanie z utworu:;pod warunkiem pozostawienia go w oryginalnej postaci;w celu zmiany lub remiksowania;w celach komercyjnych;pod warunkiem udostępnienia go na tej samej licencji;B;images/12.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/12.jpg;inf_04
;13;13. W metodach klasy GoldCustomer są widoczne jedynie pola;GoldPoints, Name, Id, Age;GoldPoints, Name;GoldPoints, Name, Id;GoldPoints;C;images/13.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/13.jpg;inf_04
;14;14. Przedstawiony kod XAML zostanie wyrenderowany jako:;A;B;C;D;D;images/14.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/14.jpg;inf_04
;15;15. Rezultatem wykonania przedstawionego fragmentu kodu jest wypisanie liczb z przedziału od 2 do 20, które są;podzielne przez wartość zmiennej test.;parzyste.;pierwsze.;podzielne przez wartość zmiennej check.;C;images/15.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/15.jpg;inf_04
;16;16. Przedstawiony fragment kodu w języku Java wypełnia tablicę wartościami:;1, 2, 3, 4, 5, 6, 7, 8, 9, 10;0, 1, 2, 3, 4, 5, 6, 7, 8, 9;2, 2, 2, 2, 2, 2, 2, 2, 2, 2;2, 4, 6, 8, 10, 12, 14, 16, 18, 20;D;images/16.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/16.jpg;inf_04
;17;17. Metoda poszukiwań w tablicach posortowanych, która polega na podzieleniu tablicy na kilka bloków i wyszukaniu liniowym tylko w tym bloku, w którym docelowy element może się znajdować, w języku angielskim nosi nazwę;Exponential search.;Ternary search.;Binary search.;Jump search.;D;;;inf_04
;18;18. Na przedstawionych funkcjonalnie równoważnych sobie kodach źródłowych w wyniku wykonania operacji w zmiennej b zostanie zapisana wartość:;5;6;596;5.96;A;images/18.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/18.jpg;inf_04
;19;19. Oprogramowaniem do śledzenia błędów oraz do zarządzania projektami jest:;Bugzilla;Jasmine;Git;Jira;D;;;inf_04
;20;20. Aby utworzyć aplikację mobilną typu cross-platform w języku C# można zastosować:;platformę Xamarin;środowisko XCode;środowisko Android Studio;platformę React Native;A;;;inf_04
;21;21. Która struktura danych może być zaimplementowana przy wykorzystaniu jedynie wymienionych metod?;tablica.;stos.;kolejka FIFO.;drzewo binarne.;B;images/21.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/21.jpg;inf_04
;22;22. Obiektowe podejście do rozwiązywania problemów obejmuje między innymi:;klasy, obiekty i hermetyzację;pola, metody, rekurencję i kwerendy;wyzwalacze i polimorfizm;zmienne, procedury i funkcje;A;;;inf_04
;23;23. Przedstawiona metoda jest implementacją algorytmu;sortującego napis od znaku o najniższym kodzie ASCII do znaku o najwyższym kodzie.;sprawdzającego czy napis jest palindromem.;wyszukującego znak w napisie.;odwracającego napis.;D;images/23.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/23.jpg;inf_04
;24;24. Przedstawiony cytat jest opisem metodyki RAD. Rozwinięcie tego skrótu można przetłumaczyć na język polski jako:;szybki rozwój aplikacji;środowisko szybkiego programowania;środowisko rozwijania aplikacji;zintegrowane środowisko programistyczne;A;images/25.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/25.jpg;inf_04
;25;25. Cechami dobrego negocjatora są:;intuicja, cierpliwość, asertywność;asertywność, pesymizm, buta;dobra reputacja, przekora, porywczość;lojalność, nieśmiałość, uczciwość;A;;;inf_04
;26;26. Przedstawiony wykres obrazuje wyniki testów:;użyteczności;funkcjonalności;wydajnościowych;bezpieczeństwa;C;images/27.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/27.jpg;inf_04
;27;27. W środowisku IDE do tworzenia aplikacji okienkowych utworzono okno Form1. Aby zmienić ustawienia, kolejno: nazwa okna widoczna na górnej belce, domyślny kursor na strzałkę oraz kolor tła okna, należy zmodyfikować następujące pola okna Properties:;Text, UseWaitCursor, BackColor.;(Name), UseWaitCursor, BackgroundImage.;Text, Cursor, BackColor.;(Name), Cursor, BackgroundImage.;C;images/28.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/28.jpg;inf_04
;28;28. Zastosowanie typu DECIMAL języka SQL wymaga wcześniejszego zdefiniowania długości (liczby cyfr) przed przecinkiem oraz długości cyfr po przecinku. Jest to zapis:;logiczny;łańcuchowy;stałoprzecinkowy;zmiennoprzecinkowy;C;;;inf_04
;29;29. Przedstawiony algorytm może być zaimplementowany w języku Java w oparciu o instrukcję:;while;try;switch;if;A;images/30.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/30.jpg;inf_04
;30;30. Przedstawione równoważne funkcjonalnie fragmenty kodu w bibliotece React.js oraz we frameworku Angular mają za zadanie wyświetlić;jedynie przycisk i obsłużyć generowane nim zdarzenie click.;liczbę kliknięć przycisku.;liczbę 0 po przyciśnięciu przycisku.;jedynie napis BTN_1.;B;images/31.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/31.jpg;inf_04
;31;31. Dane z serwera do aplikacji front-end można przesłać za pomocą:;metody POST;protokołu SSH;formatu JSON;biblioteki jQuery;C;;;inf_04
;32;32. Programista może zastosować framework Angular w celu implementacji aplikacji:;mobilnej;desktopowej;typu front-end;typu back-end;C;;;inf_04
;33;33. Przedstawiony fragment kodu z Android Studio implementuje metodę nasłuchującą do obsługi zdarzenia:;wybrania daty;wciśnięcia przycisku;zmiany pola edycyjnego;przełączenia kontrolki Switch;B;images/34.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/34.jpg;inf_04
;34;34. Poszkodowanego należy ułożyć w pozycji bocznej bezpiecznej w przypadku:;omdlenia, gdy osoba oddycha;omdlenia i braku tętna;urazu pleców, gdy osoba jest przytomna;uszkodzenia kręgosłupa;A;;;inf_04
;35;35. Na dwóch przykładach przedstawiono mechanizm o nazwie Binding. Ma on na celu;obsługiwanie zdarzenia kontrolek interfejsu użytkownika wywołując odpowiednie funkcje.;wiązanie i eksportowanie plików z różnych modułów aplikacji.;obsługiwanie mechanizmu obietnic (promises) lub obserwatora (observable) w programowaniu asynchronicznym.;wiązanie właściwości (property) elementu interfejsu użytkownika z danymi bądź właściwością innego obiektu.;D;images/36.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/36.jpg;inf_04
;36;36. Przedstawiony diagram Gantta dotyczy projektu informatycznego. Zakładając, że każdy członek zespołu ma wystarczające umiejętności, aby wykonać każde z zadań oraz do każdego z zadań można przydzielić tylko jedną osobę, która poświęca na zadanie cały dzień pracy, to minimalnie zespół musi liczyć:;5 osób;4 osoby;1 osobę;2 osoby;D;images/37.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/37.jpg;inf_04
;37;37. Jednym z etapów publikacji mobilnej w sklepie Google Play są testy Beta, których cechą charakterystyczną jest to, że są one:;podzielone na testy funkcjonalne, wydajnościowe i skalowalności;przeprowadzane w oparciu o dokument z przypadkami testowymi;wykonane przez grupę docelowych użytkowników aplikacji;wykonywane przez grupę zatrudnionych testerów z firmy Google;C;;;inf_04
;38;38. Kolor Pale Green w systemie RGB ma postać RGB(152, 251, 152). Kod szesnastkowy tego koloru wynosi:;98 FE 98;98 FB 98;A0 FB A0;A0 FE A0;B;;;inf_04
;39;39. Modyfikator dostępu poprzedzający definicję metody Dodaj() zdefiniowanej w klasie Kalkulator powoduje, że:;jest ona dostępna w programie głównym i może być wywołana na rzecz instancji klasy Kalkulator;nie jest ona dostępna z poziomu klas, które są zaprzyjaźnione z klasą Kalkulator;nie jest ona dostępna w klasach dziedziczących po klasie Kalkulator;jest ona dostępna wewnątrz klasy oraz wewnątrz klas dziedziczących po klasie Kalkulator;D;images/40.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/40.jpg;inf_04
;40;40. Środowiskiem natywnym do programowania aplikacji desktopowych za pomocą języka C# jest:;MS Visual Studio;NetBeans;Eclipse;PyCharm;A;;;inf_04
;41;41. W którym modelu Cyklu Życia Projektu Informatycznego występuje etap analizy ryzyka?;W spiralnym.;W kaskadowym.;W modelu Fry’ego;W modelu z prototypem.;A;;;inf_04
;42;42. Na obrazie przedstawiono fragment emulacji iOS z kontrolką. Który kod XAML opisuje tę kontrolkę?;"< Stepper Increment= ""1"" / >";"< Stepper Increment= ""1"" / >";"< Switch IsToggled= ""true"" / >";"< Entry IsPassword= ""true"" / >";C;images/43.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/43.jpg;inf_04
;43;43. Który z wymienionych algorytmów działających na tablicy jednowymiarowej ma złożoność obliczeniową O(n 2 )?;Wyszukiwanie binarne.;Wypisanie elementów.;Sortowanie bąbelkowe.;Sortowanie szybkie.;C;;;inf_04
;44;44. Stosowanie wzorca Obserwator w programowaniu aplikacji WEB ma na celu:;obsługę funkcji synchronicznych w kodzie aplikacji;powiadamianie obiektów o zmianie stanu innych obiektów;obserwowanie interakcji użytkownika i wysyłanie wyjątków;dopasowanie interfejsu użytkownika do różnych typów użytkowników;B;;;inf_04
;45;45. Pierwotnym przeznaczeniem środowisk IDE o nazwach: IntelliJ IDEA, Eclipse, NetBeans jest programowania w języku:;C#;C++;Python;Java;D;;;inf_04
;46;46. Która z cech przycisków typu Radio-button wyspecyfikowanych w prezentowanym fragmencie dokumentacji jest prawdziwa?;Etykieta (label) może być umieszczona tylko po przycisku radio-button.;Przyciski radio-button są grupowane w elemencie o nazwie <radio-group>.;Właściwość labelPosition przyjmuje jedną z dwóch wartości.;Właściwość value radio grupy przechowuje tekst podpisu dla każdego radio-button.;C;images/47.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/47.jpg;inf_04
;47;47. Którą nazwę kontrolki należy zapisać w pierwszej linii kodu, w miejscu <??? aby została ona wyrenderowana w przedstawiony sposób:;SeekBar;Switch;Spinner;RatingBar;B;images/48.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/48.jpg;inf_04
;48;48. W przedstawionym kodzie zdefiniowano abstrakcyjną klasę figura i dziedziczącą po niej klasę prostokąta ze zdefiniowanymi polami i konstruktorami. Wskaż minimalną implementację sekcji /* metody klasy */ dla klasy Prostokat:;A;B;C;D;A;images/49.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/49.jpg;inf_04
;49;49. Obsługę wyjątku, który wygenerowała aplikacja należy zdefiniować w sekcji;catch;try;throw;finally;A;;;inf_04
;50;50. W języku C# szablon List implementuje funkcjonalność listy. Z inicjalizacji obiektu wykaz wynika, że jego elementami są:;liczby całkowite;liczby rzeczywiste;elementy typu List;elementy o niezdefiniowanym typie;A;images/51.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/51.jpg;inf_04
;51;51. Która metodyka zarządzania projektem jest optymalna, gdy zakres projektu w początkowej fazie nie jest do końca znany, wymagania mogą ulec zmianie w trakcie trwania projektu oraz mogą pojawić się nowe wymagania?;Model kaskadowy;Model V;Agile;PRINCE2;C;;;inf_04
;52;52. Aplikacja mobilna wyświetla listę, której każdy z elementów może być dotknięty palcem, aby wyświetlić jego szczegóły. Zdarzenie odpowiadające tej akcji to;value changed.;button clicked.;tapped.;toggled.;C;;;inf_04
;53;53. Założenie programowania obiektowego polegające na ukrywaniu składowych klasy tak, aby były one dostępne tylko metodom tej klasy lub funkcjom zaprzyjaźnionym, to;dziedziczenie.;wyjątki.;polimorfizm.;hermetyzacja.;D;;;inf_04
;54;54. Które zdarzenie jest wygenerowane, gdy nieaktywne okno lub kontrolka zostaje kliknięta myszą?;blur.;keyup.;validating.;focus.;D;;;inf_04
;55;55. Przedstawiony fragment programu w języku C# generuje hasło. Wskaż zdanie PRAWDZIWE określające własność tego hasła:;Może zawierać małe i wielkie litery, cyfry oraz symbole.;Może zawierać małe i wielkie litery oraz cyfry.;Jest co najwyżej 7-znakowe, co wyznacza zmienna i.;Jest 8 znakowe lub dłuższe oraz zawiera małe i wielkie litery oraz cyfry.;B;images/56.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/56.jpg;inf_04
;56;56. Przedstawiony zapis w języku Python prezentuje:;strukturę;kolejkę (LIFO);stos;tablicę asocjacyjną (słownik);D;images/57.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/57.jpg;inf_04
;57;57. Strategia budowania algorytmu poprzez podział na dwa lub więcej mniejszych podproblemów tak długo, aż fragmentu staną się proste do bezpośredniego rozwiązania jest metodą:;heurystyczną;komiwojażera;dziel i zwyciężaj;najkrótszej ścieżki;C;;;inf_04
;58;58. Z tabeli przedstawiającej złożoność obliczeniową algorytmów sortowania na dowolnym, dużym, zbiorze wejściowym (ponad 100 elementów) wynika, że najszybszą metodą jest algorytm sortowania:;przez scalanie;bąbelkowego;przez zliczanie;kubełkowego;C;images/59.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/59.jpg;inf_04
;59;59. Zadaniem interpretera jest:;analizowanie składni całego programu przed jego uruchomieniem;wykonanie skryptu instrukcja po instrukcji;optymalizowanie większej części kodu, w celu szybszego wykonania;przetłumaczenie kodu na kod maszynowy;B;;;inf_04
;60;60. W tabeli przedstawiono doświadczenie zawodowe pracowników firmy IT. Do zbudowania aplikacji front-end powinien/powinna zostać przydzielony/przydzielona:;Ewa;Anna;Patryk;Krzysztof;D;images/61.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/61.jpg;inf_04
;61;61. W przedstawionym fragmencie kodu Java wskaż nazwę zmiennej, która będzie w stanie przechowywać wartość 'T';zm1;zm2;zm4;zm3;D;images/62.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/62.jpg;inf_04
;62;62. Przedstawione w filmie działania wykorzystują narzędzie;debugera analizującego wykonywany kod;kreatora kodu java;kreatora GUI tłumaczącego kod do języka XAML;kompilatora interfejsu graficznego;C;;;inf_04
;63;63. Reguła zaangażowania i konsekwencji jako jedna z reguł wywierania wpływu wiąże się;z odwdzięczeniem się osobie, która wyświadczyła nam przysługę;z sugerowaniem się opinią danej społeczności;z doprowadzeniem spraw do końca;z posłuszeństwem wobec autorytetów;C;;;inf_04
;64;64. W językach C++ lub C# słowo kluczowe virtual można stosować do;pól klasy;konstruktorów;metod klasy;funkcji zaprzyjaźnionych;C;;;inf_04
;65;65. Narzędziem dedykowanym do implementacji aplikacji w środowisku WPf (ang. Windows Presentation Foundation) jest;Visual Studio;NetBeans;PyCharm;XamarinStudio;A;;;inf_04
;66;66. Przedstawiony symbol przedstawia;Creative Commons;domenę publiczną;prawa autorskie;prawo cytatu;B;images/67.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/67.jpg;inf_04
;67;67. Zastosowanie modyfikatora abstract w definicji metody klasy oznacza, że;w klasie tej należy zaimplementować tę metodę;nie można dziedziczyć po tej klasie;w klasach dziedziczących nie wolno implementować tej metody;klasa ta jest bazowa dla innych klas;D;;;inf_04
;68;68. Wskaż rodzaj testów, które przeprowadza się podczas fazy tworzenia kodu źródłowego;testy wydajnościowe;testy kompatybilności;testy wdrożeniowe;testy jednostkowe;D;;;inf_04
;69;69. Jedną z wytycznych standardu WCAG 2.0 jest;unikanie zapisu informacji w formie uproszczonej;zmniejszanie zawartości strony poprzez zaniechanie stosowania alternatyw tekstowych dla obrazów i video;stosowanie kilku schematów kolorystycznych, w tym bardzo kontrastowego;stosowanie jednego, odpowiednio dużego rozmiaru czcionki;C;;;inf_04
;70;70. Wskaż niestabilny algorytm sortowania;sortowanie bąbelkowe;sortowanie przez wstawianie;sortowanie szybkie;sortowanie przez zliczanie;C;;;inf_04
;71;71. Przedstawiona deklaracja zmiennych zapisanych językiem JAVA obejmuje;dwie zmienne typu napisowego, dwie typu całkowitego i jedną logiczną;dwie zmienne typu strukturalnego;jedną zmienną typu napisowego, dwie typu całkowitego, jedną znakowego i jedną logiczną;jedną zmienną typu napisowego, jedną typu rzeczywistego, jedną całkowitego, jedną znakowego i jedną logiczną;C;images/72.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/72.jpg;inf_04
;72;72. Z przedstawionej definicji pola licznik można wywnioskować, że;aktualna wartość pola jest wspólna dla wszystkich instancji klasy i nie może być modyfikowana;aktualna wartość pola jest wspólna dla wszystkich instancji klasy;pole jest powiązane z daną instancją klasy i jego wartość jest charakterystyczna tylko dla tej instancji;pole nie może być modyfikowane w kodzie klasy;B;images/73.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/73.jpg;inf_04
;73;73. Aby w aplikacji Web zaimplementować mechanizm gromadzenia na komputerach użytkowników danych statystycznych, można zastosować;buforowanie;ciasteczka;sesje;formularze;B;;;inf_04
;74;74. Zakładając, że przedstawiona hierarchia klas reprezentuje figury geometryczne została prawidłowo zaimplementowana funkcjonalnie, a każda z możliwych figur zawiera metodę liczenia pola, to sposób deklaracji metody liczPole() wskazuje, że znajduje się ona w klasie;figura;trapez;czworokąt;trójkąt;A;images/75.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/75.jpg;inf_04
;75;75. Z przedstawionego fragmentu kodu można wywnioskować, że element o nazwie rysunek jest;konstruktorem;polem klasy;metodą klasy;obiektem;C;images/76.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/76.jpg;inf_04
;76;76. W aplikacji desktopowej zdefiniowano listę rozwijaną i przypisano cztery funkcje obsługujące zdarzenia tej kontrolki. Który komunikat zostanie wyświetlony w momencie wyboru w liście?;Zdarzenie 3;Zdarzenie 4;Zdarzenie 1;Zdarzenie 2;C;images/77.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/77.jpg;inf_04
;77;77. Programista chce dobrać najszybciej działający algorytm przetwarzania danych w swojej aplikacji. Na podstawie przedstawionej w tabeli złożoności obliczeniowej, należy wybrać algorytm numer;2 lub 3;3;4;1 lub 5;C;images/78.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/78.jpg;inf_04
;78;78. Frameworkiem umożliwiającym programowanie aplikacji desktopowych jest;WPF;Symfony;Xamarin;Angular;A;;;inf_04
;79;79. Którą strukturę danych reprezentuje przedstawiony kod zapisany w języku C#?;tablicę jednowymiarową;tablicę dwuwymiarową;stos;listę;B;images/80.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/80.jpg;inf_04
;80;80. Przedstawiony listing zawiera pola pewnej klasy. Które pole (pola) są dostępne z poziomu programu głównego poprzez wywołanie postaci nazwaObiektu.nazwaPola?;p1;p3 i p4;tylko p3;tylko p3, p4, p5;C;images/81.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/81.jpg;inf_04
;81;81. Z której kolekcji należy skorzystać, aby przechowywać dane związane z elementem interfejsu użytkownika tak, aby element był ten informowany przez kolekcję o dodaniu, usunięciu lub zmianie jej elementu;ObservableCollection;KeyedCollection;Collection;ReadOnlyCollection;A;;;inf_04
;82;82. Na funkcjonalnie równoważnych sobie listingach fragmentów aplikacji Angular i React.js jest utworzona lista punktowana, która zawiera;tyle elementów, ile jest elementów w tablicy books, w każdym punkcie listy jest jeden element tablicy;tyle elementów, ile jest elementów w tablicy books, w każdym punkcie listy jest element o treści {book};tylko jeden element o treści Harry Potter, Hobbit, Władca pierścieni;tylko jeden element o treści Harry Potter;A;images/83.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/83.jpg;inf_04
;83;83. W środowisku do tworzenia aplikacji, którego menu zostało przedstawione, aby usunąć wszystkie pliki pośrednie i wyjściowe projektu należy wybrać opcję;Run Code Analysis on Solution;Batch Build;Build Solution;Clean Solution;D;images/84.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/84.jpg;inf_04
;84;84. Pierwszym etapem tworzenia aplikacji jest;utworzenie przypadków testowych;projekt architektury systemu;dobór zestawu typów i zmiennych dla aplikacji;analiza wymagań klienta;D;;;inf_04
;85;85. Według dokumentacji menu Navbar z biblioteki Bootstrap 4, aby utworzyć menu należy zdefiniować listę;"< ul class=""a, .nav-item"" > ... < /ul>";"< ol class=""navbar-nav"" > ... < /ol>";"< ol class=""a, .nav-item"" > ... < /ol>";"< ul class=""navbar-nav"" > ... < /ul>";D;images/86.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/86.jpg;inf_04
;86;86. W przedstawionym filmie ukazano kreator interfejsu użytkownika, dla którego automatycznie powstaje;kod Java;obsługa wciśniętego przycisku;kod XML;obsługa przycisku ekranu dotykowego;C;;;inf_04
;87;87. Dziedziczenie jest stosowane, gdy istnieje potrzeba;asynchronicznej obsługi długotrwałych operacji;definicji klasy bardziej specjalistycznej niż już zdefiniowana;stosowania wartości stałych, niezmiennych przez czas trwania aplikacji;zdefiniowania zakresu widzialności metod i pól jednej klasy;B;;;inf_04
;88;"88. Wskaż frazę, która w języku angielskim oznacza ""testy wydajnościowe""";unit testing;performance testing;integration testing;security testing;B;;;inf_04
;89;89. Kod w języku JavaScript jest;prototypem metody klasy;definicją zmiennej typu tablicowego;prototypem interfejsu;definicją funkcji strzałkowej;D;images/90.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/90.jpg;inf_04
;90;90. Teoria ustalania celów opisuje właściwie określony cel jako SMART, od pierwszych liter słów: specyficzny, Mierzalny, Ambitny, Realny i Terminowy. Wskaż cel, którego osiągnięcie wymaga wysiłku i stanowi wyzwanie dla pracownika;Mierzalny;Ambitny;Terminowy;Specyficzny;B;;;inf_04
;91;91. Co można obliczyć za pomocą przedstawionego algorytmu działającego na liczbach całkowitych dodatnich?;sumę cyfr wczytanej liczby;liczbę cyfr we wczytanej liczbie;największy wspólny dzielnik wczytanej liczby;sumę wczytanych liczb;B;images/92.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/92.jpg;inf_04
;92;92. Którego kodu może dotyczyć przedstawiona treść wygenerowana podczas uruchomienia programu Java>;Kodu 4;Kodu 2;Kodu 3;Kodu 1;A;images/93.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/93.jpg;inf_04
;93;93. Wskaż przykład wypadku przy pracy;oparzenie ręki, które nastąpiło w czasie nieobowiązkowego doszkalania w czasie wolnym pracownika;złe samopoczucie wywołane przewlekła chorobą pracownika, które nastąpiło w miejscu pracy;uraz stawu skokowego, który nastąpił podczas bezpośredniej drogi do pracy;złamanie nogi podczas urlopu wypoczynkowego udzielonego przez pracodawcę;C;;;inf_04
;94;94. Która dokumentacja funkcji jest prawidłowa dla przedstawionego kodu źródłowego?;Dokumentacja 1;Dokumentacja 3;Dokumentacja 4;Dokumentacja 2;D;images/95.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/95.jpg;inf_04
;95;95. Przedstawiony zbiór operatorów należy do grupy operatorów;arytmetycznych;przypisania;logicznych;porównania;A;images/96.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/96.jpg;inf_04
;96;96. Który typ testów może być opisany przedstawionym scenariuszem;testy wydajnościowe;testy jednostkowe;testy kompatybilności;testy funkcjonalne;D;images/97.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/97.jpg;inf_04
;97;"97. Którą wartość zwróci funkcja zapisana językiem C++, jeżeli jej parametr wejściowym jest tablica utworzona w następujący sposób: int tablica[6] = {3,4,2,4,10,0);?";10;0;23;20;C;images/98.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/98.jpg;inf_04
;98;98. Aby zaimplementować w aplikacji jednokierunkową funkcję skrótu tzw. funkcję haszującą można posłużyć się algorytmem;DES;RSA;AES;MD5;D;;;inf_04
;99;99. Liczba A4 zapisana systemem heksadecymalnym ma postać binarną;1010100;10100100;10100010;1011100;B;;;inf_04
;100;100. Wskaż uproszczony kod XAML dla kontrolek w przedstawionym oknie dialogowym;Kod 3;Kod 1;Kod 2;Kod 4;C;images/101.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/101.jpg;inf_04
